UnitID,Institution Name,Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),
170037,Cornerstone University,3637182,3048353,4392158,4072341,4498279,4218361,4511992,4094302,
235024,Cornish College of the Arts,984488,2240568,3235140,2288500,2527078,1871912,1681996,1333263,
177117,Cottey College,1178409,1062670,799885,891809,1583215,1443189,1152701,967586,
139393,Covenant College,4456177,5049488,5158417,4856870,3894195,3724062,4284045,3808255,
177126,Covenant Theological Seminary,,,,,,,,,
176770,Cox College,,750,0,1500,3742,1442,0,1000,
169424,Cranbrook Academy of Art,,,,,,,,,
181002,Creighton University,24911521,24959805,23278001,20086420,19934177,18787397,17426389,16848424,
475608,Criswell College,138522,36696,44513,58783,55780,17140,13973,13624,
106810,Crowley's Ridge College,204070,236395,360123,336861,156497,211915,169007,237829,
174862,Crown College,1332046,1526421,1252011,1579719,1553622,1396317,1690890,1619412,
190503,Culinary Institute of America,9148908,5765848,4442045,4967579,5052465,4478496,3809967,2691540,
177144,Culver-Stockton College,4131649,4449854,4599452,3733877,3445524,3843929,2829185,3068746,
219949,Cumberland University,3479011,2556588,2562173,2648346,1708872,1996244,2158061,2191970,
165529,Curry College,14630914,14538025,12750611,14107866,11709333,11652490,9609670,7303150,
211893,Curtis Institute of Music,214407,134449,117551,158886,158245,103546,190320,227573,
190716,D'Youville College,2943782,3136096,3006517,2681180,2707549,3237503,2903897,3028917,
190725,Daemen College,7291626,5884352,6706795,6392762,5491571,5787605,5325615,5188191,
219091,Dakota Wesleyan University,2419958,2239015,2717587,2331804,2440965,1754433,2211267,2615362,
224226,Dallas Baptist University,7771471,5515964,5054252,4680614,4224379,3871483,3476038,3858033,
224244,Dallas Christian College,66250,119987,106500,110634,109362,159826,343278,141718,
224305,Dallas Theological Seminary,,,,,,,,,
492102,Daniel Morgan Graduate School of National Security,,,,,,,,,
182670,Dartmouth College,26768464,26425537,25383411,22639485,22759993,22114402,21061806,18976615,
169479,Davenport University,5085748,5165228,3824534,4184964,3933315,3057427,2709959,2117685,
198385,Davidson College,14153384,13638972,12505052,11532148,11147521,11301097,9592769,8333069,
237358,Davis & Elkins College,4208640,3752702,4261810,4128660,3547923,2626287,3332159,2558623,
194569,Davis College,43501,92070,68350,153379,121393,156680,127145,110952,
165574,Dean College,9788738,10476205,9519001,7808044,9149123,8387753,8892044,7100710,
202514,Defiance College,3267405,2443787,2416573,2271072,2852068,3699502,3253948,3065759,
211981,Delaware Valley University,9523080,10720629,9035971,8966067,8423914,8718174,6560392,7243799,
113537,Dell'Arte International School of Physical Theatre,6475,,,,,,,,
202523,Denison University,17606126,18213699,16238986,18545050,16805841,17216254,14864665,15770345,
126979,Denver Seminary,,,,,,,,,
144740,DePaul University,54701416,53543067,52219529,41643130,39755872,38758535,35594543,36001768,
150400,DePauw University,14729665,18725007,18451437,16604259,15584057,12691040,14164388,11707754,
154156,Des Moines University-Osteopathic Medical Center,,,,,,,,,
210739,DeSales University,10768946,10747705,8429741,9426718,7846938,6897416,6385224,5837338,
212009,Dickinson College,13018832,19118966,15246897,15315750,15537410,11933590,11133914,10029334,
158802,Dillard University,2801720,3260318,2839611,3148080,1697326,1898064,1432461,1481161,
445869,Divine Mercy University,,,,,,,,,
153241,Divine Word College,,18525,596,42428,4745,80013,123565,143769,
181020,Doane University,7878413,5281706,5991553,5517459,5741472,4313770,4120395,4318597,
190761,Dominican College of Blauvelt,4840371,5246881,3947455,4372893,5400370,3856584,3660184,2776049,
113704,Dominican School of Philosophy & Theology,,,,,,,,,
148496,Dominican University,7955752,7618134,7714060,8169983,6998343,6580837,6457433,5890850,
113698,Dominican University of California,6641066,7317236,5778946,5848248,5580622,5196293,5926388,4815692,
122117,Dongguk University Los Angeles,,,,,,,,,
155007,Donnelly College,123527,181211,122268,220327,155502,195912,120677,167703,
153250,Dordt University,6773995,5766143,5967251,5619917,5433494,4474622,4645234,3638288,
449481,Dragon Rises College of Oriental Medicine,,,,,,,,,
153269,Drake University,19840744,17903565,17006935,15061254,14547998,14690188,13400235,12432584,
184348,Drew University,9505614,9874390,11943036,10637588,11384568,8128477,10444059,7890850,
212054,Drexel University,89165553,94885040,92324664,61130367,71724074,69622913,50676371,49156950,
177214,Drury University,6534178,6449313,5897997,6171566,3497361,3554305,3631521,1937566,
492801,Drury University-College of Continuing Professional Studies,6876,14451,8481,,,,,,
198419,Duke University,39306562,41641836,45980752,38513783,34698854,30689014,28848579,31315918,
175227,Dunwoody College of Technology,355374,445875,360076,535545,503526,193614,100802,31672,
212106,Duquesne University,28717022,32163634,29902577,27267873,24372292,21063021,22837221,21872198,
150455,Earlham College,5668284,9106115,9320734,12276247,7723697,7512068,7200527,7507057,
224527,East Texas Baptist University,4053100,4638132,5048246,4101053,3741892,3377874,2925277,2661141,
144883,East-West University,907151,219887,395703,309255,219069,105040,159666,174930,
232043,Eastern Mennonite University,4620795,4228811,3539584,3999328,4235820,3750586,3159864,2986096,
165644,Eastern Nazarene College,2046570,2289500,3232257,3534117,2079715,2979072,3084423,2627738,
212133,Eastern University,6622414,7891970,6703849,7359391,6550033,6253451,6337042,6022763,
446233,Ecclesia College,283115,347154,243321,336306,318459,193717,224875,161655,
133492,Eckerd College,9280542,13244732,12348250,12054239,9522237,9664450,7945321,8951266,
247162,Ecumenical Theological Seminary,,,,,,,,,
177278,Eden Theological Seminary,,,,,,,,,
238661,Edgewood College,3625279,3350118,3411056,3124883,3402595,3260405,3292286,3768439,
442806,Edward Via College of Osteopathic Medicine,,,,,,,,,
133526,Edward Waters College,985007,1061134,1088742,992317,843538,930938,863874,923962,
212197,Elizabethtown College,6295935,11476607,11400186,10692187,11284716,9396619,10119003,9239141,
486080,Elmezzi Graduate School of Molecular Medicine,,,,,,,,,
144962,Elmhurst University,11267708,10879444,9614419,8283905,9567641,8194067,9011342,8679643,
190983,Elmira College,5109499,5921022,5411557,5032245,6175439,7997049,7739381,9012658,
198516,Elon University,13492191,13288959,13958109,10760494,8950443,8203454,8059898,8282851,
133553,Embry-Riddle Aeronautical University-Daytona Beach,22281922,17388398,20101158,14671240,16284991,14429559,8850602,7082463,
104586,Embry-Riddle Aeronautical University-Prescott,12668885,8706412,10697025,8380485,8441672,6254648,5680038,3330203,
426314,Embry-Riddle Aeronautical University-Worldwide,77341,8555,40550,700,5050,19965,1700,500,
165662,Emerson College,17001881,14423797,12351647,10970010,10661687,9129604,8867946,8074864,
139630,Emmanuel College,2380032,1792874,2000467,1810308,1775218,1529163,1324963,1494545,
165671,Emmanuel College,14212524,14344128,9671694,11913078,10209450,9088824,8288814,8640217,
153302,Emmaus Bible College,520861,424949,460753,578764,527384,577002,150830,82816,
232025,Emory & Henry College,7317550,6633137,6124939,6562733,5761541,5427090,5043691,4423070,
139658,Emory University,31367834,32420404,27278836,24982512,23671483,19763121,27289362,23134239,
165699,Endicott College,11284257,10029264,9482486,8353399,8463419,7828526,6127315,6306787,
124487,Epic Bible College,,200,5000,0,0,0,836,9359,
224712,Episcopal Theological Seminary of the Southwest,,,,,,,,,
409254,Erikson Institute,,,,,,,,,
217998,Erskine College,5206276,2394820,2608259,2673716,5477863,4970064,5025255,2956615,
144971,Eureka College,1198568,1404949,1018330,1200918,1364559,1524027,995820,1080582,
177339,Evangel University,5197360,4661720,4605410,4627875,3724154,2896166,4036019,2930326,
212443,Evangelical Theological Seminary,,,,,,,,,
385619,Everglades University,446352,359912,304143,554634,421981,531875,37384,30613,
460376,Fairfax University of America,,500,500,1000,0,,,,
129242,Fairfield University,25992186,25712505,20580247,22545779,18580753,20047535,16282028,15862322,
184694,Fairleigh Dickinson University-Florham Campus,16979362,19173688,22895380,14252758,16225764,16528094,10971683,11396812,
184603,Fairleigh Dickinson University-Metropolitan Campus,13363714,14041894,17216294,10354188,10098229,11103858,10480108,11494636,
153320,Faith Baptist Bible College and Theological Seminary,583458,644133,796232,537014,595864,844389,441311,300884,
443049,Faith International University,7700,9400,1771,6600,3236,4998,700,1270,
212452,Faith Theological Seminary,,0,684,0,3824,0,6320,8200,
443058,Family of Faith Christian University,,,0,0,0,0,0,0,
101189,Faulkner University,2827619,2665770,2788718,2712470,2011924,2831339,2123409,2106261,
184612,Felician University,7802515,5735152,6050567,5629277,5052478,4678034,2296413,2464815,
232089,Ferrum College,7763025,8119654,6826043,7777127,7991164,9160749,8345442,8609301,
114549,Fielding Graduate University,,,,,,,,,
172440,Finlandia University,1138976,996874,688842,860761,703369,323586,539000,748019,
165802,Fisher College,3134800,3582909,3965037,3471194,3671569,3469387,2935921,3715915,
220181,Fisk University,2902044,1876217,1143921,473851,3177804,2490078,2606326,3156103,
133711,Flagler College,3441974,3387300,3407101,2514786,2287156,2128388,1907872,1575493,
133809,Florida College,1198181,1103587,767000,739044,721771,736482,632947,701003,
133881,Florida Institute of Technology,13584982,15176468,14057556,15234223,13437608,14085856,13094598,12464641,
133979,Florida Memorial University,569463,342517,669121,694157,514286,1069190,351118,357000,
134079,Florida Southern College,13664986,13756639,13068127,11001907,11053001,8199426,8128258,6330457,
177418,Fontbonne University,3503344,3363431,2010468,1764715,2470056,1344936,1831190,1395218,
191241,Fordham University,60120698,58353874,55123035,50079080,47408353,47274643,38356933,34563921,
160074,Franciscan Missionaries of Our Lady University,224106,190489,197095,203449,120390,135270,165996,154000,
114734,Franciscan School of Theology,,,,,,,,,
205957,Franciscan University of Steubenville,6435784,5935528,4773819,4377712,3897814,4023440,3405770,2897299,
212577,Franklin and Marshall College,15272327,14607234,16876992,14205325,12149934,12671072,11055379,10854252,
150604,Franklin College,5064349,4565229,4302110,3650109,4096951,4567153,3520244,3604463,
182795,Franklin Pierce University,11436690,10896913,9540173,13788064,7703893,8160397,8058512,9013441,
202806,Franklin University,4170826,2103779,5750,0,0,0,0,11445,
441982,Franklin W Olin College of Engineering,3301264,3007059,3336633,2533427,2355486,2411705,2592776,2254917,
220215,Freed-Hardeman University,4368780,4123308,4346138,4380420,3776323,4127084,4006466,3167530,
114813,Fresno Pacific University,3067857,3994049,2859678,3219745,1904137,2457671,2850196,2622107,
155089,Friends University,2617146,2558840,2646341,2290013,1844289,2044038,1656857,2024437,
114840,Fuller Theological Seminary,,,,,,,,,
218070,Furman University,16127060,17803832,18386638,20657105,17455166,17626902,17474050,11590565,
481030,Future Generations University,,,,,,,,,
131450,Gallaudet University,1327415,1987867,2009280,1250199,1490322,1251258,1114351,937515,
212601,Gannon University,14313182,14820991,11205530,11042185,9834269,9184891,8997671,8436471,
198561,Gardner-Webb University,8108311,8037496,7748927,7914308,6024168,7432154,4559406,4954882,
145275,Garrett-Evangelical Theological Seminary,,,,,,,,,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,4731885,4507530,4062632,3683552,3741421,3635891,4157676,4180235,
208822,George Fox University,11761196,10294633,10503085,10154122,9740291,9298535,8964793,6251829,
131469,George Washington University,59756133,67289030,59145555,52834071,50488355,45834589,42829195,39338667,
156745,Georgetown College,9293467,7364936,7519263,6498247,5899474,5231119,4166255,4139228,
131496,Georgetown University,29363185,31321794,28630027,25985807,25287447,22386587,22874897,21152324,
184773,Georgian Court University,3332799,5305357,3826528,3726402,2078136,4002809,3760525,1960722,
212674,Gettysburg College,21548493,21469392,18073640,15384428,14246890,15353428,11162275,13290439,
230889,Goddard College,5500,500,1500,3500,1500,2000,172,3000,
202903,Gods Bible School and College,133882,93120,88647,95384,51470,55820,65331,38364,
115083,Golden Gate University-San Francisco,,,,,,,,,
130989,Goldey-Beacom College,2586177,2787155,3049215,2875100,2130322,2674494,1133455,891471,
235316,Gonzaga University,29326098,25710451,25675602,25448668,24030696,17680973,19212813,16228544,
202912,Good Samaritan College of Nursing and Health Science,500,1000,1000,0,16751,1000,1400,5200,
129154,Goodwin University,1024642,714284,329118,466237,943159,1729832,637680,1270192,
165936,Gordon College,8122928,8583030,7954529,6892390,7354114,6672743,6686222,6033212,
165945,Gordon-Conwell Theological Seminary,,,,,,,,,
150668,Goshen College,3512055,4209547,4516258,3665704,3588301,2806611,2641496,2533195,
162654,Goucher College,10248660,12425543,11390794,11574422,8790809,8727967,8158505,8081210,
170000,Grace Christian University,543238,533437,320442,431966,473250,342693,356800,384184,
150677,Grace College and Theological Seminary,4069355,3124330,3128157,3477773,4041290,4815204,4044982,4255156,
461528,Grace College of Divinity,4820,2605,2900,2000,21965,24810,0,0,
481058,Grace Mission University,4032,5200,100,100,0,1350,32459,0,
481401,Grace School of Theology,,0,,,,,,,
153366,Graceland University-Lamoni,4085431,5442570,4597171,4558932,5188279,4408033,4532202,3514545,
115214,Graduate Theological Union,,,,,,,,,
153375,Grand View University,5104367,4981449,4947569,4277289,3156458,3405659,3386325,2764297,
212771,Gratz College,,,,,,,,,
170091,Great Lakes Christian College,78865,147118,134808,169535,325456,67541,104893,89917,
198598,Greensboro College,1175150,2979896,3350310,1015300,1794623,2077994,2459701,2603976,
145372,Greenville University,3735066,3213214,3034936,2669720,3573301,3300566,2956559,2831839,
153384,Grinnell College,14858110,14872611,12900499,11634730,11929410,11662776,11766981,11042100,
212805,Grove City College,2256946,2496672,2337608,2072786,1665177,1662365,1676147,1490417,
198613,Guilford College,8742995,8211517,7008994,7934633,5344477,6014683,6320437,3691622,
173647,Gustavus Adolphus College,18207093,19595610,15295048,11283480,15155299,14721168,13544905,14320371,
212832,Gwynedd Mercy University,4442548,5177765,4893393,3821335,3912364,3156169,2961274,3108142,
225201,Hallmark University,116502,122225,147635,181660,38683,11050,15600,5545,
191515,Hamilton College,11873303,11586230,11194373,10154292,9510116,8916460,9110458,8577382,
173665,Hamline University,13493463,12767636,12023363,12026489,10644423,10352636,10393154,9718936,
232256,Hampden-Sydney College,6066052,8305098,7315012,6700591,6978224,6836756,5547252,6274285,
166018,Hampshire College,660242,8236579,9883693,8513366,9585811,7483979,7707268,6371863,
232265,Hampton University,8123377,9276132,7273894,9545014,7504684,6064874,5874918,4982102,
177542,Hannibal-LaGrange University,1441451,1313464,1673902,1698376,1382121,1489909,1413188,1670355,
150756,Hanover College,7498892,9078794,8297753,7165318,6395311,6063636,6442327,6277032,
225247,Hardin-Simmons University,8159318,7606538,6318282,5038573,5241357,3392633,3854046,3073415,
107044,Harding University,8224304,7647611,7860697,7472034,7028960,8220001,7777532,6449235,
446640,Harrisburg University of Science and Technology,3228291,3735438,2901034,1688014,1667488,964704,998160,1151771,
129491,Hartford Seminary,,,,,,,,,
191533,Hartwick College,12351323,13033015,10401187,10556805,7194279,9688779,12212780,8882346,
166027,Harvard University,52176557,50215649,47261195,44496602,41899663,37997153,38869051,38367873,
115409,Harvey Mudd College,5570330,5724286,5060396,4732059,4934520,4045906,4296392,3834789,
181127,Hastings College,6963510,5346191,5938482,4902650,5164991,5912948,5780494,3198036,
212911,Haverford College,7354039,8153418,7440854,6890098,7775222,6986121,6232868,6088118,
173683,Hazelden Betty Ford Graduate School of Addiction Studies,,,,,,,,,
166045,Hebrew College,,,,,,,,,
145497,Hebrew Theological College,16115,38669,55670,94116,19426,10316,67607,79269,
203067,Hebrew Union College-Jewish Institute of Religion,,,,,,,,,
203085,Heidelberg University,6564116,6277405,5250480,5848410,4301018,5533784,4990597,4313752,
191597,Helene Fuld College of Nursing,,,,,,,0,,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,192491,173696,144440,231984,563392,343616,296264,218350,
107080,Hendrix College,11196933,11881948,11402256,11364530,11772966,8287897,11583555,8927982,
101453,Heritage Christian University,8883,35129,71157,11198,43355,6497,33380,12123,
235422,Heritage University,436853,503344,277224,483204,737587,674428,279530,217976,
200785,Herzing University-Akron,26595,11035,16930,3524,11327,4783,11846,7695,
140340,Herzing University-Atlanta,25102,37817,29795,12815,33162,24752,21892,26311,
101365,Herzing University-Birmingham,2144,10317,30239,0,74983,8874,30225,20673,
459851,Herzing University-Brookfield,27618,90796,28435,43254,20232,36626,29195,38521,
459842,Herzing University-Kenosha,12190,23163,32032,1132,25758,29873,51837,31130,
240392,Herzing University-Madison,69497,98873,27913,43643,57487,89736,17756,131088,
174154,Herzing University-Minneapolis,7911,48538,60068,22570,16605,11707,50,27074,
433536,Herzing University-New Orleans,15514,7824,14985,3699,21878,16150,2540,10032,
386472,Herzing University-Orlando,7012,63495,18235,10946,3415,0,16352,11947,
155177,Hesston College,2427737,2156523,2676259,2190650,2185808,2240101,1956665,2165612,
198695,High Point University,15415358,15510406,9887326,10461497,9349882,9642060,6894762,6673050,
485403,High Tech High Graduate School of Education,,,,,,,,,
191621,Hilbert College,1466866,1841420,1501602,1234442,1061383,955398,1064905,1055513,
170286,Hillsdale College,6921210,6065151,6615018,6470591,5840449,4563450,,,
203128,Hiram College,5803353,5295919,5355528,3984935,2439673,4290758,4947956,5135282,
191630,Hobart William Smith Colleges,14046644,19195949,17995853,13256009,14191258,12260070,12186119,9917336,
134510,Hobe Sound Bible College,450,4791,30612,4900,42105,48000,21875,1050,
367884,Hodges University,0,10500,1500,38929,37562,28685,76493,75667,
191649,Hofstra University,39594583,38441372,37523094,35308988,33982179,32721637,28480498,23683069,
232308,Hollins University,6187265,6301763,4608408,6501916,5361247,4412807,3330415,2763139,
129534,Holy Apostles College and Seminary,0,0,0,0,0,0,,2000,
150774,Holy Cross College,2026713,1636646,2113770,3180661,1946750,1391407,1122491,1048310,
239743,Holy Family College,,592859,1087321,676994,718646,502999,429463,631689,
212984,Holy Family University,6096812,5774000,6048074,5709921,5453092,4043991,3970503,3935199,
115728,Holy Names University,4313163,4469554,4601506,2342577,2808595,1723216,1507109,2426800,
457086,Homestead Schools,250,250,0,4728,0,0,0,0,
162760,Hood College,8877940,6232832,6282306,4816591,5594846,5741435,5450050,4807742,
443076,Hood Theological Seminary,,,,,,,,,
170301,Hope College,11411693,11965897,11796825,9497976,9454974,10173605,9438408,9853949,
120537,Hope International University,2149428,1565363,1328387,1261282,1411032,953874,792059,1157611,
457226,Horizon University,0,,,,0,,,,
191676,Houghton College,4240467,4116886,3553709,5225774,4224235,3726334,3168755,3278530,
225399,Houston Baptist University,13791976,9055961,8280887,9208070,7967484,9057371,8046974,6647314,
246345,Houston Graduate School of Theology,,,,,,,,,
225548,Howard Payne University,2697314,2627041,2949443,3532975,3218805,3625557,3425773,3186466,
131520,Howard University,37605781,30391435,38076439,11915701,20939990,23922095,20777955,15252850,
164368,Hult International Business School,2416180,2661645,1343164,1065195,1333656,,,,
115773,Humphreys University-Stockton and Modesto Campuses,14970,52250,11952,14004,75528,62086,39191,9760,
101435,Huntingdon College,3270160,2960974,3563946,3318137,2630077,2505898,2872864,2712324,
150941,Huntington University,2768297,2417577,2530964,2605284,2274552,3002419,2872128,3047243,
449348,Huntsville Bible College,,0,0,,,0,0,0,
487524,Husson University,5102151,5473845,4562309,3145303,2442282,2504181,,,
225575,Huston-Tillotson University,199729,300323,318305,209387,433756,555448,544780,572268,
193405,Icahn School of Medicine at Mount Sinai,,,,,,,,,
127273,Iliff School of Theology,,,,,,,,,
145691,Illinois College,6853807,6316832,5445615,5948603,4576620,4704786,4717333,4391129,
145628,Illinois College of Optometry,,,,,,,,,
145725,Illinois Institute of Technology,19865401,20586182,14853761,15726318,13913237,12193072,11871647,9942277,
145646,Illinois Wesleyan University,11501551,14270352,9380251,10285155,9691315,8702704,10627864,8743561,
213011,Immaculata University,2984588,2097995,2045900,4013388,3309196,3104992,3873173,3258041,
465812,Independence University,843474,5044578,1335424,461672,508907,215757,157396,108611,
151290,Indiana Institute of Technology,6571479,6517943,5825285,6183431,8667701,5134161,4438465,4410658,
492962,Indiana Institute of Technology-College of Professional Studies,6514,1000,19392,,,,,,
151801,Indiana Wesleyan University-Marion,9169466,9635913,10305307,8766719,8469882,7739165,8621606,6994865,
488679,Indiana Wesleyan University-National & Global,3445,1758,0,0,5234,,,,
145886,Institute for Clinical Social Work,,,,,,,,,
462044,Institute for Doctoral Studies in the Visual Arts,,,,,,,,,
489335,Institute of Buddhist Studies,,,,,,,,,
454838,Institute of Taoist Education and Acupuncture,,,,,,,,,
455804,Institute of World Politics,,,,,,,,,
140146,Interdenominational Theological Center,,,,,,,,,
436614,International Baptist College and Seminary,27380,48458,23487,36545,27864,70895,50885,15869,
448691,International Institute for Restorative Practices,,,,,,,,,
443128,International Technological University,,,,,,,,,
191931,Iona College,14052189,16872916,17090759,18380560,15211174,13469432,14964876,10241634,
153621,Iowa Wesleyan University,1582797,1330026,1945860,1747884,1967592,1007298,1479244,1536625,
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,,,,,,,,,
191968,Ithaca College,37722739,40586305,37612049,35165377,36097180,29335508,31836936,26159185,
134945,Jacksonville University,16285969,14945894,14066627,10588326,8158529,6669528,9352761,8931871,
225885,Jarvis Christian College,746795,1331526,866084,561515,895752,658191,163913,746873,
192040,Jewish Theological Seminary of America,660759,627240,517743,572754,529426,606365,629322,646942,
107141,John Brown University,5192868,4873813,4562405,4319229,5082608,4250251,3940850,3740532,
203368,John Carroll University,19419439,22456408,17873040,16931621,16806375,18064716,17548672,13860783,
116712,John F. Kennedy University,,,,,,,,,
462354,John Paul the Great Catholic University,719618,763518,692366,674560,547000,395016,360560,307399,
162928,Johns Hopkins University,39124298,35331980,33080850,26468035,26277082,24397821,23260953,23751691,
445708,Johnson & Wales University-Charlotte,8027240,9512584,9432757,10382901,10232303,7773751,7717305,6688418,
439288,Johnson & Wales University-Denver,5248813,5143674,4329980,5163382,5059796,4047083,4191520,4168907,
414823,Johnson & Wales University-North Miami,5807423,5444367,5555480,6308660,4715252,6067326,6431202,5968349,
217235,Johnson & Wales University-Providence,28522909,26886448,27714468,32919039,28420236,23728535,24655605,22584759,
198756,Johnson C Smith University,1711586,1864456,1815066,1859090,1992386,1668127,1338648,2605106,
220473,Johnson University,574460,560628,466029,502255,536976,516731,508800,414086,
132879,Johnson University Florida,87907,176297,91393,71341,45092,43166,62221,118280,
101541,Judson College,483901,881308,763477,862580,663223,862155,787008,540449,
146339,Judson University,3698675,2927033,2703843,2907217,1888487,2533128,2843692,2409461,
461139,Jung Tao School of Classical Chinese Medicine,,,,,,,,,
213251,Juniata College,13768655,10714012,9239406,10702974,8122402,9764322,8148693,7489560,
170532,Kalamazoo College,13309901,13193365,13822356,9174873,8774980,8677998,10279988,6853736,
155308,Kansas Christian College,97923,63973,42471,1650,2196,0,5980,,
177746,Kansas City Art Institute,4063280,2730773,3260194,3327650,2705830,2238163,2527714,2942398,
179812,Kansas City University of Medicine and Biosciences,,,,,,,,,
490601,Kansas City University of Medicine and Biosciences-Joplin,,,,,,,,,
155414,Kansas Wesleyan University,2403805,2432587,2628442,2086974,2110707,1940797,1647440,1533970,
440031,Keck Graduate Institute,,,,,,,,,
192165,Kehilath Yakov Rabbinical Seminary,97804,61180,62260,82365,116318,69642,66363,14480,
135081,Keiser University-Ft Lauderdale,16119099,7740395,10791822,9662454,9344628,5680289,4088572,3682305,
177816,Kenrick Glennon Seminary,,0,0,0,0,0,0,0,
157100,Kentucky Christian University,1889296,1455055,1560874,1288015,624743,1044956,832768,1173949,
157030,Kentucky Mountain Bible College,40085,26895,15256,34725,27260,29165,39495,26200,
157076,Kentucky Wesleyan College,3729760,3661663,1482902,1187286,1779325,2209057,1386646,1448294,
203535,Kenyon College,11312258,12388206,9584015,9223478,9326426,7724767,6864359,7237346,
203544,Kettering College,128681,170759,68086,143896,12900,16222,25400,25500,
169983,Kettering University,7186482,6790307,6701368,5990489,6637457,5808637,6371550,5609911,
192192,Keuka College,6104782,6285766,6288457,5723124,5037088,3380182,3017311,3085726,
213303,Keystone College,2483250,2381203,3213826,3656910,3534903,3077945,3414094,3682575,
220516,King University,3090968,2761604,2651235,2527868,2245038,2677131,3307710,2824001,
213321,King's College,11880191,11318261,11700654,9675352,8654358,7800432,7321681,7100412,
146427,Knox College,10939682,10916570,10360542,9046376,10007632,8732914,8590348,7572450,
171881,Kuyper College,94628,171413,209358,361772,423623,371320,175150,432470,
213358,La Roche University,2510730,3150365,2571458,2544057,2799158,2144256,1929965,2440118,
213367,La Salle University,12409986,14611233,14104701,19992727,17641622,20407087,19100064,17738216,
117627,La Sierra University,4516742,5317052,5342833,3974851,5307623,5410197,4843515,5161410,
165264,Laboure College,,0,0,0,0,1000,13580,120,
213376,Lackawanna College,645873,498079,653117,706007,550321,595066,482939,421550,
213385,Lafayette College,15443109,15416679,13624755,13096018,11099049,10576446,10572171,9882974,
140234,LaGrange College,4569195,3745364,4819070,4053734,4583693,3422282,4683561,2672873,
117168,Laguna College of Art and Design,1286346,931750,674327,586520,563318,369000,316500,534700,
203580,Lake Erie College,4303139,4111613,4330089,4466720,3808187,3284227,3580318,4727138,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
146481,Lake Forest College,12234248,11926941,9948798,9858979,8914902,9788589,9203919,8599962,
146490,Lake Forest Graduate School of Management,,,,,,,,,
238980,Lakeland University,3492972,3495196,2774175,2786269,2565042,1958430,2234329,2246788,
146533,Lakeview College of Nursing,,,,,,,,,
213400,Lancaster Bible College,2020688,1908776,1419679,1255746,1316809,1177468,794065,709246,
213446,Lancaster Theological Seminary,,,,,,,,,
247649,Landmark College,1341998,1526889,1547549,1540844,1518488,2354156,2119864,2323972,
220598,Lane College,715068,608377,665548,613502,487582,284140,225680,197542,
166391,Lasell University,11409510,8535158,8573361,8320264,9255914,8753951,7333443,8235737,
170675,Lawrence Technological University,4610827,4566766,4521614,5226055,4273531,4350307,4055586,3512118,
239017,Lawrence University,12904239,12715758,10221642,10033919,9756264,9371213,8691634,8566609,
192323,Le Moyne College,14850168,14575314,11303200,12040599,11967026,12194044,10938125,7933067,
220604,Le Moyne-Owen College,205313,152504,148370,162460,127977,92034,173582,121857,
213507,Lebanon Valley College,13717618,12848684,11955909,10077578,10347275,8407917,7197772,6436299,
220613,Lee University,7300967,7438853,7089282,6896824,5842219,4798900,5116367,5753793,
198808,Lees-McRae College,2687810,3564931,3048937,2833263,2478565,2721989,2979438,2117292,
213543,Lehigh University,28577851,25569847,22750941,20137785,18421155,18239273,16261051,16857555,
198835,Lenoir-Rhyne University,12166015,12841607,9438761,10306678,9642712,6458052,5263193,4874775,
166452,Lesley University,3376273,4278108,4063927,3519314,3597028,2237981,4623219,4292641,
226231,LeTourneau University,5546641,4954778,4611075,4153583,3893788,4478288,4289540,4197274,
209056,Lewis & Clark College,15004903,15265273,12857667,11262393,13377455,11701298,8496382,9105761,
146612,Lewis University,12438572,12123660,10552279,10026507,9577503,9889386,8819667,7591467,
157207,Lexington Theological Seminary,,,,,,,,,
232557,Liberty University,35088317,29675648,26541279,26812301,29684874,23694110,18817069,19476535,
117520,Life Chiropractic College West,,,,,,,,,
117104,Life Pacific University,242219,318697,139013,106724,142254,96241,95410,283112,
140252,Life University,843713,682785,421973,363000,246000,167890,99710,59625,
218238,Limestone University,3733138,4436253,3819149,3559105,4223668,3988616,3931180,2447105,
146667,Lincoln Christian University,268071,255977,283871,342339,274885,294159,315167,364820,
146676,Lincoln College,2293169,1787916,1915393,2144919,2797868,2431068,2492590,1775704,
220631,Lincoln Memorial University,2870086,3434931,4484037,4175256,3164604,3243752,2139104,1912023,
117557,Lincoln University,0,0,2000,2000,2000,0,1215,1185,
177968,Lindenwood University,7927235,10631639,9153522,10268646,9344268,8815626,9438942,8886522,
