UnitID,Institution Name,Full-time adjusted fall 2018 cohort (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),
136215,Nova Southeastern University,1241,976,647,633,564,614,599,674,
194161,Nyack College,135,156,174,201,191,216,235,256,
221254,O'More College of Design,,,27,33,21,23,30,21,
174525,Oak Hills Christian College,16,17,13,18,23,21,27,24,
152099,Oakland City University,108,97,86,84,73,93,100,91,
101912,Oakwood University,316,366,390,337,374,364,386,386,
204501,Oberlin College,804,723,762,775,797,773,759,734,
227289,Oblate School of Theology,,,,,,,,,
120254,Occidental College,565,564,502,517,546,548,530,537,
140696,Oglethorpe University,330,332,331,322,276,283,277,262,
201964,Ohio Christian University,127,141,165,135,140,153,145,298,
204547,Ohio College of Podiatric Medicine,,,,,,,,,
204617,Ohio Dominican University,255,239,227,248,226,237,266,308,
206002,Ohio Mid-Western College,,,,,,17,45,42,
204635,Ohio Northern University,681,640,598,585,628,613,630,686,
237640,Ohio Valley University,79,128,108,87,69,82,100,147,
204909,Ohio Wesleyan University,449,448,486,429,458,536,537,483,
194189,Ohr Hameir Theological Seminary,0,3,3,5,8,1,4,8,
207403,Oklahoma Baptist University,527,554,565,555,483,576,505,475,
207324,Oklahoma Christian University,454,507,445,437,500,526,395,404,
207458,Oklahoma City University,373,295,329,320,294,349,318,332,
206835,Oklahoma Wesleyan University,185,200,221,177,177,177,139,133,
171599,Olivet College,301,320,350,237,222,276,297,217,
147828,Olivet Nazarene University,692,750,704,731,779,753,667,706,
461120,Omega Graduate School,,,,,,,,,
207582,Oral Roberts University,543,611,474,430,400,386,463,396,
209533,Oregon College of Art and Craft,,13,26,16,26,20,19,22,
369659,Oregon College of Oriental Medicine,,,,,,,,,
120403,Otis College of Art and Design,276,203,203,188,238,160,183,185,
442897,Ottawa University-Jeffersonville,,,,,,0,,,
155636,Ottawa University-Kansas City,,,,,,0,,0,
428259,Ottawa University-Milwaukee,,,,,,0,,0,
454582,Ottawa University-Online,,0,,,,0,,0,
155627,Ottawa University-Ottawa,235,202,176,160,172,144,154,167,
105367,Ottawa University-Phoenix,,,,,,0,,0,
204936,Otterbein University,576,603,646,559,560,568,559,633,
107512,Ouachita Baptist University,427,445,395,412,420,393,363,459,
227331,Our Lady of the Lake University,373,337,213,306,357,335,316,245,
178679,Ozark Christian College,132,106,115,139,133,126,136,129,
194310,Pace University,1976,1999,1973,2052,1938,1758,1812,1560,
120740,Pacific Lutheran Theological Seminary,,,,,,,,,
236230,Pacific Lutheran University,649,619,678,557,574,649,633,731,
209603,Pacific Northwest College of Art,127,81,79,70,73,60,77,75,
455406,Pacific Northwest University of Health Sciences,,,,,,,,,
120768,Pacific Oaks College,0,0,,,,,,,
457484,Pacific Rim Christian University,9,10,7,9,3,7,20,15,
120795,Pacific School of Religion,,,,,,,,,
120838,Pacific States University,0,0,2,1,1,0,1,1,
120865,Pacific Union College,106,137,168,171,212,239,188,266,
209612,Pacific University,421,424,431,479,459,419,460,374,
140720,Paine College,201,90,101,125,202,234,173,183,
136330,Palm Beach Atlantic University,520,533,499,547,523,578,439,475,
154174,Palmer College of Chiropractic,,0,0,2,0,0,0,0,
120698,Palo Alto University,,,,,,,,,
121628,Pardee RAND Graduate School,,,,,,,,,
178721,Park University,206,225,142,141,150,156,168,173,
243823,Parker University,127,51,35,5,9,0,0,,
121071,Patten University,,,,,,,,,
227429,Paul Quinn College,122,105,103,164,88,56,49,55,
194392,Paul Smiths College of Arts and Science,152,173,189,201,178,174,201,235,
204990,Payne Theological Seminary,,,,,,,,,
214883,Peirce College,2,0,1,2,2,2,8,1,
214971,Pennsylvania Academy of the Fine Arts,33,37,38,37,21,14,9,21,
215053,Pennsylvania College of Art and Design,54,71,75,69,59,51,62,61,
442356,Pennsylvania College of Health Sciences,13,20,11,0,1,1,1,0,
219842,Pentecostal Theological Seminary,,,,,,,,,
121150,Pepperdine University,799,861,743,744,655,783,787,688,
199306,Pfeiffer University,306,277,178,160,200,231,214,190,
215123,Philadelphia College of Osteopathic Medicine,,,,,,,,,
107600,Philander Smith College,294,328,280,170,110,134,162,188,
110307,Phillips Graduate University,,,,,,,,,
414966,Phillips Theological Seminary,,,,,,,,,
381459,Phoenix Seminary,,,,,,,,,
199315,Piedmont International University,,,,,23,29,31,36,
140818,Piedmont University,252,290,273,278,269,232,208,232,
440794,Pillar College,35,24,24,25,26,36,42,11,
458159,Pinchot University,,,,,,,,,
167455,Pine Manor College,62,74,93,97,122,61,77,67,
215424,Pittsburgh Theological Seminary,,,,,,,,,
121257,Pitzer College,272,262,268,267,267,263,261,278,
121309,Point Loma Nazarene University,657,618,594,598,587,645,600,531,
215442,Point Park University,603,633,605,588,629,539,516,486,
138868,Point University,243,266,319,263,267,190,254,131,
194541,Polytechnic Institute of New York University,,,,,,,414,410,
456481,Polytechnic University of Puerto Rico-Miami,1,1,1,1,1,2,3,0,
456490,Polytechnic University of Puerto Rico-Orlando,6,1,2,2,1,1,2,1,
121345,Pomona College,412,411,411,400,450,396,399,394,
205027,Pontifical College Josephinum,12,11,13,16,19,12,19,3,
131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,,,,,,,,,
455813,Pontifical John Paul II Institute for Studies on Marriage and Family,,,,,,,,,
167464,Pope St John XXIII National Seminary,,,,,,,,,
194578,Pratt Institute-Main,805,777,789,782,707,679,686,642,
218539,Presbyterian College,310,276,287,262,275,296,282,359,
105589,Prescott College,44,64,47,35,40,40,64,62,
219295,Presentation College,97,108,133,106,101,121,97,90,
186122,Princeton Theological Seminary,,,,,,,,,
186131,Princeton University,1338,1305,1305,1317,1310,1284,1357,1298,
148016,Principia College,100,84,112,79,121,125,111,103,
455770,Providence Christian College,35,31,54,64,22,20,11,15,
217402,Providence College,1121,1063,1056,1033,1030,1027,998,982,
199412,Queens University of Charlotte,367,383,278,281,287,315,356,357,
148131,Quincy University,261,234,287,278,214,275,262,276,
130226,Quinnipiac University,1895,1963,1903,1901,1651,1795,1780,1511,
384421,Rabbi Jacob Joseph School,6,28,24,25,19,32,29,21,
194657,Rabbinical Academy Mesivta Rabbi Chaim Berlin,39,26,38,31,29,44,36,42,
194693,Rabbinical College Beth Shraga,16,12,23,21,20,14,15,22,
194666,Rabbinical College Bobover Yeshiva Bnei Zion,69,70,49,57,45,36,43,50,
186186,Rabbinical College of America,54,61,40,42,37,19,25,29,
194675,Rabbinical College of Ch'san Sofer New York,,,,,12,6,1,1,
194736,Rabbinical College of Long Island,44,41,41,36,0,0,0,0,
405854,Rabbinical College of Ohr Shimon Yisroel,12,21,18,19,12,15,12,12,
205124,Rabbinical College Telshe,19,11,14,8,12,13,14,10,
194718,Rabbinical Seminary Mkor Chaim,,,,,,,9,9,
194763,Rabbinical Seminary of America,76,101,75,90,107,107,91,101,
231837,Radford University-Carilion,,52,40,54,65,51,72,62,
207157,Randall University,77,73,59,78,47,40,53,52,
233301,Randolph College,166,202,187,184,191,216,180,177,
233295,Randolph-Macon College,420,374,396,404,427,382,411,410,
178891,Ranken Technical College,9,18,4,0,3,517,474,513,
215619,Reconstructionist Rabbinical College,,,,,,,,,
209922,Reed College,363,407,354,419,346,354,320,372,
215628,Reformed Presbyterian Theological Seminary,,,,,0,0,0,,
231651,Regent University,312,275,267,290,200,213,198,185,
167598,Regis College,229,272,235,263,249,266,276,262,
127918,Regis University,508,540,486,545,481,389,474,514,
140872,Reinhardt University,342,334,329,272,310,324,341,226,
475033,Relay Graduate School of Education,,,,,,,,,
457183,Remington College of Nursing Orlando,,,,,,,,,
460783,Remington College-Heathrow Campus,29,23,23,30,34,29,40,19,
372958,Remington College-Honolulu Campus,0,8,8,0,2,10,0,5,
135939,Remington College-Tampa Campus,,,,,1,1,0,0,
129428,Rensselaer at Hartford,,,,,,,,,
194824,Rensselaer Polytechnic Institute,1778,1663,1691,1379,1331,1411,1326,1186,
149763,Resurrection University,,,,,,,,,
217493,Rhode Island School of Design,473,451,456,463,462,455,434,443,
221351,Rhodes College,543,512,507,562,507,545,553,543,
227757,Rice University,954,1044,975,965,938,975,928,995,
441104,Richmont Graduate University,,,,,,,,,
186283,Rider University,918,1008,869,861,999,909,919,939,
136774,Ringling College of Art and Design,426,364,355,305,268,257,312,286,
475185,Rio Grande Bible Institute,,,,9,13,3,6,7,
239628,Ripon College,267,233,213,216,211,238,204,227,
183211,Rivier University,265,265,280,183,172,213,218,196,
233426,Roanoke College,575,556,508,506,562,541,543,533,
215655,Robert Morris University,814,868,880,865,858,988,848,782,
148335,Robert Morris University Illinois,398,424,548,629,725,696,756,852,
194958,Roberts Wesleyan College,228,219,226,236,255,203,210,236,
195003,Rochester Institute of Technology,2693,2610,2423,2716,2504,2551,2498,2428,
170967,Rochester University,136,157,128,154,155,150,134,145,
195049,Rockefeller University,,,,,,,,,
148405,Rockford University,158,151,159,165,147,103,105,122,
179043,Rockhurst University,402,430,402,318,398,437,446,326,
180595,Rocky Mountain College,252,245,215,239,227,238,262,227,
217518,Roger Williams University,1040,1135,1211,1023,1149,1102,997,1171,
409616,Roger Williams University School of Law,,,,,,,,,
136950,Rollins College,549,530,538,493,540,476,518,555,
148487,Roosevelt University,323,360,336,357,600,429,535,435,
145558,Rosalind Franklin University of Medicine and Science,,,,,,,,,
152318,Rose-Hulman Institute of Technology,499,556,543,545,582,559,616,504,
445735,Roseman University of Health Sciences,,,,,,,,,
215691,Rosemont College,91,142,157,134,126,112,75,107,
148511,Rush University,,,,,,,,,
195128,Russell Sage College,369,201,205,262,283,295,282,306,
176318,Rust College,251,228,225,242,284,267,271,238,
172033,Sacred Heart Major Seminary,3,3,4,4,2,1,2,3,
239637,Sacred Heart Seminary and School of Theology,,,,,,,,,
130253,Sacred Heart University,1463,1387,1322,1290,1385,1267,865,980,
154235,Saint Ambrose University,505,546,453,445,522,561,581,551,
183239,Saint Anselm College,591,546,517,528,523,508,527,549,
149028,Saint Anthony College of Nursing,0,0,0,1,,,,,
148876,Saint Augustine College,0,1,1,0,0,0,0,1,
199582,Saint Augustine's University,211,332,353,210,267,323,400,461,
157632,Saint Catharine College,,,,,122,75,126,111,
216047,Saint Charles Borromeo Seminary-Overbrook,12,8,17,16,12,10,6,9,
227845,Saint Edward's University,802,790,863,873,810,791,777,780,
186618,Saint Elizabeth University,182,164,167,101,141,124,146,179,
148575,Saint Francis Medical Center College of Nursing,,,,,,,,,
215743,Saint Francis University,337,347,348,399,390,398,400,417,
195720,Saint John Fisher College,601,626,576,552,597,521,578,553,
167677,Saint John's Seminary,,0,,0,0,0,0,0,
174792,Saint Johns University,398,465,461,451,450,497,449,494,
160409,Saint Joseph Seminary College,22,15,28,17,15,9,9,9,
161518,Saint Joseph's College of Maine,284,254,266,277,263,304,258,259,
215770,Saint Joseph's University,1127,1074,1262,1172,1341,1269,1229,1133,
152363,Saint Josephs College,,,,249,216,273,235,259,
195571,Saint Josephs Seminary and College,,,,,,,,,
137032,Saint Leo University,543,535,609,656,613,639,632,543,
179256,Saint Louis Christian College,6,1,14,14,11,19,16,25,
179159,Saint Louis University,1509,1632,1556,1622,1611,1638,1670,1752,
179450,Saint Luke's College of Health Sciences,6,0,,,,,,,
236452,Saint Martin's University,237,275,237,179,153,158,228,231,
152390,Saint Mary's College,403,362,432,419,378,437,417,393,
123554,Saint Mary's College of California,626,646,562,650,580,622,623,641,
174817,Saint Mary's University of Minnesota,306,300,283,277,334,307,328,373,
152381,Saint Mary-of-the-Woods College,163,132,79,66,86,61,69,69,
152451,Saint Meinrad School of Theology,,,,,,,,,
231059,Saint Michael's College,448,408,458,463,574,506,544,542,
239716,Saint Norbert College,620,526,583,601,536,539,584,575,
179317,Saint Paul School of Theology,,,,,,,,,
233499,Saint Pauls College,,,,,,,,107,
186432,Saint Peter's University,562,651,626,567,582,607,390,417,
215798,Saint Vincent College,417,456,390,444,449,472,339,409,
136701,Saint Vincent de Paul Regional Seminary,,,,,,,,,
215813,Saint Vincent Seminary,,,,,,,,,
195580,Saint Vladimirs Orthodox Theological Seminary,,,,,,,,,
148627,Saint Xavier University,703,600,616,620,563,591,473,582,
199607,Salem College,100,160,204,184,200,180,172,180,
180647,Salish Kootenai College,20,19,31,11,14,16,16,27,
214564,Salus University,,,,,,,,,
217536,Salve Regina University,493,590,548,556,623,463,544,547,
102049,Samford University,958,857,916,826,728,755,701,684,
122296,Samuel Merritt University,,,,,,,,,
112084,San Diego Christian College,63,69,57,90,103,91,82,84,
122454,San Francisco Art Institute,52,51,61,85,79,72,81,87,
122506,San Francisco Conservatory of Music,61,61,54,34,41,33,37,39,
122649,San Joaquin College of Law,,,,,,,,,
200244,Sanford College of Nursing,,,,,,,,,
122931,Santa Clara University,1390,1403,1316,1260,1318,1291,1276,1281,
195304,Sarah Lawrence College,425,393,377,353,356,427,344,374,
140951,Savannah College of Art and Design,2594,2274,2138,1934,1726,1595,1664,1719,
123095,Saybrook University,,,,,,,,,
143048,School of the Art Institute of Chicago,626,644,624,567,592,566,554,440,
166984,School of the Museum of Fine Arts at Tufts University,,,,,51,54,82,72,
228042,Schreiner University,359,341,302,288,273,299,272,275,
123165,Scripps College,252,327,270,277,248,272,235,257,
236577,Seattle Pacific University,707,642,683,674,683,765,784,760,
236595,Seattle University,1074,948,978,992,921,958,901,870,
102058,Selma University,49,46,49,103,132,190,119,120,
195429,Seminary of the Immaculate Conception,,,,,,,,,
232885,Sentara College of Health Sciences,,,,,,,,,
186584,Seton Hall University,1524,1458,1240,1403,1263,1338,1455,986,
215947,Seton Hill University,380,424,363,389,333,380,337,355,
195438,Sh'or Yoshuv Rabbinical College,1,3,2,7,22,10,8,11,
123280,Shasta Bible College and Graduate School,2,1,6,3,2,6,5,4,
199643,Shaw University,390,489,640,399,460,534,495,522,
233541,Shenandoah University,443,438,455,446,417,418,457,343,
461485,Shepherds Theological Seminary,,,,,,,0,0,
218751,Sherman College of Chiropractic,,,,,,,,,
480499,Shiloh University,0,0,0,0,,0,,0,
148849,Shimer College,,,,11,11,8,7,14,
140988,Shorter University,321,263,317,259,291,307,277,373,
448309,Shorter University-College of Adult & Professional Programs,,0,4,2,14,10,1,17,
195474,Siena College,745,775,762,753,709,764,733,782,
172264,Siena Heights University,290,277,291,304,272,300,274,301,
182458,Sierra Nevada University,80,71,93,88,113,91,70,101,
461759,Simmons College of Kentucky,55,47,22,18,20,0,0,0,
167783,Simmons University,393,400,454,471,303,338,400,344,
154350,Simpson College,360,296,348,322,344,373,408,332,
123457,Simpson University,86,99,117,88,126,149,147,138,
219374,Sinte Gleska University,2,2,2,3,23,6,12,9,
219240,Sioux Falls Seminary,,,,,,,,,
231068,SIT Graduate Institute,,,,,,,,,
195526,Skidmore College,677,661,714,684,724,660,647,663,
167835,Smith College,613,638,654,609,616,643,651,694,
110778,Sofia University,0,,,,,,,,
163921,Sojourner-Douglass College,,,,,,11,92,93,
399911,Soka University of America,111,107,104,127,99,112,103,110,
123633,South Baylo University,,,,,,,,,
366003,South Florida Bible College and Theological Seminary,4,8,9,5,5,1,2,2,
228194,South Texas College of Law Houston,,,,,,,,,
176336,Southeastern Baptist College,2,2,2,2,5,1,2,4,
102261,Southeastern Bible College,,,,9,11,11,14,11,
137564,Southeastern University,1029,800,1005,878,841,841,562,459,
221661,Southern Adventist University,421,466,412,428,443,368,382,404,
123952,Southern California Institute of Architecture,28,31,21,31,34,32,32,6,
117575,Southern California Seminary,1,0,4,0,1,2,3,0,
117672,Southern California University of Health Sciences,0,0,0,0,0,,,,
221670,Southern College of Optometry,,,,,,,,,
228246,Southern Methodist University,1526,1421,1521,1370,1455,1428,1425,1382,
206862,Southern Nazarene University,290,267,267,283,270,283,275,250,
183026,Southern New Hampshire University,1985,1539,1475,1666,1542,1175,782,729,
231086,Southern Vermont College,,84,76,103,90,92,113,108,
233611,Southern Virginia University,208,185,195,143,140,110,129,191,
217776,Southern Wesleyan University,206,197,177,187,185,152,157,121,
179326,Southwest Baptist University,436,453,422,436,463,455,519,443,
420246,Southwest College of Naturopathic Medicine & Health Sciences,,,,,,,,,
228468,Southwestern Adventist University,127,128,134,147,164,167,116,127,
228325,Southwestern Assemblies of God University,172,188,194,151,189,203,218,261,
228486,Southwestern Christian College,0,8,5,4,2,2,2,4,
207856,Southwestern Christian University,132,130,159,110,126,155,95,118,
155900,Southwestern College,185,188,182,89,123,128,148,160,
188207,Southwestern College,,,,,,,,,
123970,Southwestern Law School,,,,,,,,,
228343,Southwestern University,441,362,381,359,382,491,356,344,
157757,Spalding University,180,164,151,179,171,182,171,152,
141060,Spelman College,571,545,531,564,550,558,520,529,
148982,Spertus College,,,,,,,,,
172334,Spring Arbor University,192,269,305,290,337,366,313,401,
102234,Spring Hill College,309,395,392,416,362,431,295,335,
167899,Springfield College,527,655,541,546,562,510,541,582,
475273,Springfield College-Regional  Online  and Continuing Education,,,,,,,,,
195155,St Bernard's School of Theology and Ministry,,,,,,,,,
195164,St Bonaventure University,551,439,432,390,435,438,486,489,
175005,St Catherine University,398,387,410,398,415,368,402,370,
195173,St Francis College,561,435,502,533,510,566,691,453,
123855,St John's Seminary,,,,,,,,,
195216,St Lawrence University,640,695,565,679,600,629,641,645,
461069,St Luke University,,,,,,,,,
163842,St Mary's Seminary & University,,,,,,,,,
174844,St Olaf College,807,784,824,763,765,752,864,739,
130448,St Vincent's College,,,0,0,0,0,0,4,
199698,St. Andrews University,187,187,224,144,152,178,97,97,
207689,St. Gregory's University,,,,81,102,108,87,86,
137272,St. John Vianney College Seminary,8,7,6,5,5,11,11,6,
163976,St. John's College,121,122,127,102,116,122,118,148,
245652,St. John's College,71,70,67,75,74,82,98,98,
148593,St. John's College-Department of Nursing,,,,,,,,,
195809,St. John's University-New York,3052,2943,3229,3236,2774,2773,2757,2733,
195544,St. Joseph's College-New York,200,170,195,507,496,544,577,647,
228149,St. Mary's University,638,643,586,589,469,596,584,639,
195243,St. Thomas Aquinas College,270,246,254,272,232,332,270,302,
137476,St. Thomas University,206,229,197,194,162,194,207,206,
243744,Stanford University,1696,1700,1738,1719,1677,1674,1762,1704,
123916,Starr King School for the Ministry,,,,,,,,,
179548,Stephens College,117,129,160,190,184,168,137,162,
155937,Sterling College,152,218,128,140,188,169,139,140,
231095,Sterling College,18,28,27,24,21,17,16,20,
137546,Stetson University,894,864,809,982,771,852,816,715,
186867,Stevens Institute of Technology,1007,761,734,685,734,622,614,559,
164173,Stevenson University,603,682,783,733,689,752,860,866,
102270,Stillman College,144,118,125,239,266,163,276,287,
167996,Stonehill College,650,667,732,656,609,609,814,567,
168005,Suffolk University,1226,1058,1177,1324,1076,1159,1239,1230,
447953,SUM Bible College and Theological Seminary,79,79,80,90,130,64,86,74,
181543,Summit Christian College,2,2,2,2,3,3,13,5,
216278,Susquehanna University,619,633,636,666,573,588,631,598,
216287,Swarthmore College,414,392,414,407,407,388,378,386,
233718,Sweet Briar College,110,79,134,24,154,197,176,194,
196413,Syracuse University,3592,3638,3700,3478,3460,3475,3381,3398,
155973,Tabor College,163,136,136,150,159,159,140,151,
102298,Talladega College,275,157,25,320,282,256,207,184,
137777,Talmudic College of Florida,8,10,10,19,4,4,5,18,
186900,Talmudical Academy-New Jersey,4,10,0,17,6,18,12,8,
196440,Talmudical Institute of Upstate New York,0,6,1,0,5,7,4,3,
451404,Talmudical Seminary of Bobov,102,79,104,78,77,68,32,42,
196431,Talmudical Seminary Oholei Torah,27,43,31,44,56,49,71,74,
216311,Talmudical Yeshiva of Philadelphia,36,38,37,36,36,38,34,38,
152530,Taylor University,531,448,472,519,433,459,498,461,
196468,Teachers College at Columbia University,,,,,,,,,
149329,Telshe Yeshiva-Chicago,26,13,20,21,18,18,18,22,
221856,Tennessee Temple University,,,,,,85,30,60,
221731,Tennessee Wesleyan University,188,203,197,212,191,208,218,206,
228866,Texas Chiropractic College Foundation Inc,,,,,,,,,
228875,Texas Christian University,2187,1949,1887,2074,1888,1933,1849,1867,
228884,Texas College,274,246,264,139,173,240,146,212,
228981,Texas Lutheran University,364,416,377,395,309,346,355,398,
229160,Texas Wesleyan University,298,306,301,365,310,266,278,162,
132408,The Baptist College of Florida,25,37,32,39,34,43,42,48,
164933,The Boston Conservatory,,,,,120,133,137,148,
131283,The Catholic University of America,833,830,723,904,830,836,880,901,
455433,The Chicago School of Professional Psychology at Anaheim,,,,,,,,,
143978,The Chicago School of Professional Psychology at Chicago,,,,,,,,,
455664,The Chicago School of Professional Psychology at Los Angeles,0,0,0,0,,,,,
459745,The Chicago School of Professional Psychology at Washington DC,,,,,,,,,
455682,The Chicago School of Professional Psychology at Westwood,,,,,,,,,
142294,The College of Idaho,283,262,237,201,274,291,283,233,
193645,The College of New Rochelle,,269,446,350,396,472,543,561,
195234,The College of Saint Rose,615,576,641,631,533,619,590,595,
174899,The College of Saint Scholastica,397,482,448,439,460,431,477,487,
420352,The College of Saints John Fisher & Thomas More,,,,,,,,,
206589,The College of Wooster,569,568,543,566,547,560,573,571,
431248,The Colorado Center for Medical Laboratory Science,,,,,,,,,
191320,The General Theological Seminary,,,,,,,,,
146241,The John Marshall Law School,,,,,,,,,
192110,The Juilliard School,121,110,113,109,129,109,108,101,
454184,The King's College,143,149,161,149,142,125,202,162,
439701,The King's University,16,15,15,16,23,25,21,11,
117751,The Master's University and Seminary,148,160,172,201,194,188,208,229,
167057,The New England Conservatory of Music,108,108,120,86,73,93,99,87,
193654,The New School,1758,1513,1552,1260,1109,994,1044,1006,
448804,The Robert B Miller College,,,,,,,,,
475228,The Santa Barbara and Ventura Colleges of Law at Santa Barbara,,,,,,,,,
125037,The Santa Barbara and Ventura Colleges of Law at Ventura,,,,,,,,,
104665,The School of Architecture,,,,,,,,,
441131,The Seattle School of Theology & Psychology,,,,,,,,,
157748,The Southern Baptist Theological Seminary,133,102,120,136,93,96,66,45,
475237,The University of America,,,,,,,0,,
202763,The University of Findlay,560,594,544,577,577,513,525,591,
137847,The University of Tampa,2154,2135,1903,1801,1752,1589,1514,1622,
215105,The University of the Arts,425,409,413,404,373,457,408,424,
221519,The University of the South,477,448,514,469,466,488,453,433,
125480,The University of West Los Angeles,,,,,,,,,
126012,The Wright Institute,,,,,,,,,
216348,Theological Seminary of the Reformed Episcopal Church,,,,,,,,,
216357,Thiel College,236,186,207,207,280,303,298,371,
124292,Thomas Aquinas College,121,90,87,79,89,88,84,92,
161563,Thomas College,241,222,268,255,211,245,243,216,
126049,Thomas Jefferson School of Law,,,,,,,,,
216366,Thomas Jefferson University,561,481,,,,,,,
183275,Thomas More College of Liberal Arts,24,13,22,10,21,14,23,23,
157809,Thomas More University,484,349,413,274,276,264,261,255,
141167,Thomas University,75,76,96,88,82,70,102,88,
103778,Thunderbird School of Global Management,,,,,,,,,
206048,Tiffin University,465,445,442,478,493,450,447,420,
141185,Toccoa Falls College,213,213,207,139,160,163,173,165,
196583,Torah Temimah Talmudical Seminary,3,21,16,21,36,53,52,60,
176406,Tougaloo College,152,195,201,154,169,153,243,204,
196592,Touro College,439,393,404,391,205,200,245,178,
459736,Touro University California,,,,,,,,,
459824,Touro University Nevada,,,,,,,,,
459727,Touro University Worldwide,21,26,18,13,3,6,6,5,
157818,Transylvania University,298,282,242,309,261,289,331,241,
221892,Trevecca Nazarene University,336,380,360,321,298,234,234,262,
206154,Tri-State Bible College,0,0,0,0,0,2,1,4,
152567,Trine University,641,602,461,470,523,372,468,422,
414878,Trine University-Regional/Non-Traditional Campuses,2,1,2,2,5,2,4,9,
137953,Trinity Baptist College,71,56,74,91,80,75,53,38,
200484,Trinity Bible College and Graduate School,33,42,47,34,53,43,40,46,
149505,Trinity Christian College,153,190,160,190,190,203,187,234,
130590,Trinity College,579,580,572,559,611,602,591,590,
137962,Trinity College of Florida,31,30,26,33,31,24,28,29,
146755,Trinity College of Nursing & Health Sciences,0,0,0,1,0,0,0,1,
216463,Trinity Episcopal School for Ministry,,,,,,,,,
135610,Trinity International University-Florida,2,0,0,0,0,,,4,
149514,Trinity International University-Illinois,154,138,147,148,162,182,157,157,
123448,Trinity Law School,,,,,,,,,
235769,Trinity Lutheran College,,,,,52,48,43,20,
206215,Trinity Lutheran Seminary,,,,,,,,,
229267,Trinity University,690,642,660,602,654,534,595,636,
131876,Trinity Washington University,212,259,221,217,283,265,252,266,
196653,Trocaire College,0,0,0,0,0,0,0,0,
141237,Truett McConnell University,283,206,218,207,207,187,189,172,
168148,Tufts University,1541,1410,1336,1357,1347,1307,1306,1315,
160755,Tulane University of Louisiana,1908,1904,1854,1719,1647,1608,1641,1642,
200527,Turtle Mountain Community College,9,15,12,19,20,18,22,16,
221953,Tusculum University,276,334,318,280,298,300,336,296,
102377,Tuskegee University,561,615,615,594,634,645,649,816,
246789,Unification Theological Seminary,,,,,,5,0,,
157863,Union College,221,248,263,212,239,239,212,193,
181738,Union College,132,138,137,153,130,169,145,147,
196866,Union College,571,570,559,568,570,559,591,572,
446932,Union Graduate College,,,,,,,,,
206279,Union Institute & University,1,2,8,6,0,12,9,13,
233842,Union Presbyterian Seminary,,,,,,,,,
196884,Union Theological Seminary in the City of New York,,,,,,,,,
221971,Union University,376,337,334,338,288,366,356,370,
213631,United Lutheran Seminary,,,,,,,,,
102395,United States Sports Academy,,,,,,,,,
197018,United Talmudical Seminary,449,418,464,467,512,511,434,355,
206288,United Theological Seminary,,,,,,,,,
175139,United Theological Seminary of the Twin Cities,,,,,,,,,
200554,United Tribes Technical College,0,0,4,11,35,15,23,25,
161572,Unity College,186,174,215,198,182,146,120,128,
128744,University of Bridgeport,523,549,482,406,531,537,588,392,
237312,University of Charleston,259,341,297,316,317,271,240,236,
144050,University of Chicago,1805,1730,1586,1537,1445,1426,1521,1411,
224323,University of Dallas,376,419,371,393,342,380,353,371,
202480,University of Dayton,2197,2225,1823,2144,2172,1783,2049,1953,
127060,University of Denver,1464,1483,1375,1415,1414,1399,1203,1230,
169716,University of Detroit Mercy,564,536,521,503,458,491,479,558,
153278,University of Dubuque,513,512,433,435,442,441,438,343,
150534,University of Evansville,498,442,537,514,532,543,518,622,
457402,University of Fort Lauderdale,0,0,0,0,0,0,0,,
129525,University of Hartford,1025,1094,1098,1215,977,1042,1278,1320,
179265,University of Health Sciences and Pharmacy in St. Louis,107,106,120,188,195,246,247,252,
160065,University of Holy Cross,70,67,87,69,60,54,59,48,
151263,University of Indianapolis,1203,1130,990,955,945,786,817,784,
200156,University of Jamestown,264,235,262,231,209,257,221,234,
117140,University of La Verne,670,601,556,717,561,560,614,501,
232609,University of Lynchburg,516,542,521,527,512,512,515,609,
200217,University of Mary,431,437,406,405,420,423,401,368,
226471,University of Mary Hardin-Baylor,872,751,746,725,706,672,626,628,
135726,University of Miami,2341,2185,2042,2057,2052,2113,1986,2139,
101693,University of Mobile,241,226,223,287,272,258,220,244,
199069,University of Mount Olive,253,276,275,276,284,200,237,241,
204185,University of Mount Union,624,538,641,539,635,552,647,618,
161457,University of New England,594,588,668,575,535,547,516,527,
182829,University of New Hampshire-Franklin Pierce School of Law,,,,,,,,,
129941,University of New Haven,1303,1408,1117,1233,1214,1156,1118,1275,
204486,University of Northwestern Ohio,84,72,67,120,84,91,105,98,
174491,University of Northwestern-St Paul,411,391,407,440,430,464,451,449,
152080,University of Notre Dame,2070,2050,2045,2003,2010,2066,2008,2018,
215062,University of Pennsylvania,2453,2407,2423,2370,2342,2348,2383,2393,
157535,University of Pikeville,289,279,328,313,351,384,368,481,
209825,University of Portland,1003,1001,961,941,1082,835,872,836,
