UnitID,Institution Name,Grand total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full-time adjusted fall 2018 cohort (EF2019D_RV),Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Total expenses-Total amount (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Total expenses-Total amount (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Total expenses-Total amount (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Total expenses-Total amount (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Total expenses-Total amount (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Total expenses-Total amount (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Total expenses-Total amount (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),Total expenses-Total amount (F1112_F2_RV),
139205,Brewton-Parker College,195,192,197,195,170,166,158,153,105,103,112,111,148,147,137,136,195,82,166,69,152,74,103,61,111,47,147,74,134,80,121,51,18500,18240,17740,16960,16180,14200,13560,12670,1519780,1563922,1231553,1161557,651498,663186,860728,737742,7884156,10260229,7732353,10059311,7675732,9370575,7570223,8831131,7674723,9307109,13913077,9590529,14335613,9423045,14043831,9401749,
152992,Briar Cliff University,136,136,181,181,158,158,210,210,185,185,206,206,180,180,233,233,181,119,158,108,210,115,185,146,206,145,179,97,232,154,237,136,32202,30970,29786,28788,28090,27202,26650,25642,2688543,2611485,2960475,3710647,2988680,3424997,2788491,3238700,16276558,25944680,14199125,25346157,13015759,23786410,12066605,22338792,12568754,21528982,10949734,21313752,10351696,20713865,8902569,19907528,
231581,Bridgewater College,487,487,590,590,534,534,600,600,542,542,488,488,536,536,552,552,590,425,534,361,600,447,540,422,487,382,536,397,552,421,471,363,36600,35160,33820,32590,31480,30380,29090,28000,12986768,15844113,12843574,13934556,11823770,10048011,10366946,10277664,95560797,50782456,93113220,49679776,89237902,47639127,79252839,44702346,82716905,42669932,83051300,40393423,70577494,38545617,62670740,40276753,
230047,Brigham Young University-Hawaii,524,523,533,525,611,607,440,437,523,515,520,518,515,510,508,498,384,234,465,295,328,202,395,256,389,232,384,234,318,195,411,250,5720,5560,5400,5240,5100,4940,4770,4630,1464963,1501738,1649498,1782900,1654349,1139952,1216080,986834,117859065,118909000,122042710,108694000,97998486,109788000,129600366,103408000,128522023,92962000,119641542,96166000,92978156,94827000,88087105,89051000,
142522,Brigham Young University-Idaho,5211,4195,4451,3935,4742,4131,4188,3738,4192,2556,2190,1964,2423,2234,2653,2397,2965,2084,3190,2341,2852,2066,2047,1452,1113,752,1197,827,1097,741,1859,1337,4208,4118,4018,3920,3830,3950,3850,3770,3954148,3799599,3964913,2608382,1301774,1140504,898262,1118335,108304000,300377000,117712000,289437000,103023000,279765000,97261000,261291000,,237794000,92425000,232495000,78741000,216818000,72824000,194212000,
230038,Brigham Young University-Provo,5731,5606,5739,5635,5440,5352,5246,5162,5127,5036,4060,4014,4423,4366,5525,5430,3305,2986,3345,2944,3200,2881,3141,2818,2172,1858,2375,2063,2235,1891,3670,3276,5790,5620,5460,5300,5150,5000,4850,4710,10889343,11117612,9731167,9833643,9163383,6893039,6976785,7931229,1878296000,1147530324,1974414000,1115409851,1720824000,1048798235,1571803000,1011303343,1581452000,967282023,1470770000,984399453,1053241027,949595347,957009708,909697211,
450304,Brite Divinity School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83303334,7827615,84861470,6887049,81800996,7043649,78106730,7264503,82075528,7411268,79232546,6976748,75018923,7460443,64940799,6898701,
189501,Brooklyn Law School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226569503,58613947,237372819,60049008,233423409,56004511,151264671,54502929,129836298,54030594,133265987,54353418,117055082,60596978,105828691,58439522,
217156,Brown University,1660,1660,1652,1652,1637,1637,1679,1679,1613,1613,1559,1559,1542,1542,1536,1536,1651,1617,1636,1609,1674,1643,1613,1580,1559,1526,1542,1504,1536,1492,1507,1468,58404,55466,53419,51366,49346,47434,45612,43758,34737568,32539557,30482738,27878108,26556034,26161297,26574900,24087011,3976694000,1014978000,3603848000,968340000,3245531000,901068000,2963366000,854890000,3073349000,825925000,2999749000,774578000,2669948000,729782000,2525091000,704820000,
180878,Bryan College of Health Sciences,72,68,63,60,53,47,58,50,46,43,51,50,37,36,42,35,60,48,47,39,50,45,43,38,50,43,35,29,35,29,30,29,17534,17282,15190,14636,14169,13592,12711,12246,83243,43959,34157,44220,66089,14537,10000,12900,7285835,13839756,7595756,13354753,,13160641,,12907325,,12770825,,11523601,,11192391,,10436674,
219790,Bryan College-Dayton,195,195,192,191,177,177,208,208,164,164,188,188,187,187,198,195,186,131,163,109,188,127,149,123,188,122,187,111,195,138,234,175,27900,26800,25600,24450,23300,22200,21150,20150,2889028,2388944,2333874,2495016,1874872,1777731,1645335,1543889,6980955,16744489,6055056,16637110,5977351,17315974,5932411,17624403,5901131,17124526,5848081,18635806,5789771,20747722,5763345,19715801,
217165,Bryant University,854,854,867,866,892,892,843,843,908,908,826,826,890,890,772,772,865,751,892,802,841,757,908,814,825,746,889,775,770,695,814,713,45395,43973,42109,40962,39808,38574,37234,35991,17750018,17223354,17129850,15617749,15592977,12977454,13313622,11892937,184036000,156606000,183756000,151451000,174207000,147245000,158599000,142058000,170101000,132139000,172809342,129076000,153536376,122992000,141803000,129281000,
210492,Bryn Athyn College of the New Church,79,79,64,64,97,97,70,70,90,90,85,85,81,80,55,54,66,59,96,73,72,55,84,58,85,64,80,61,54,40,81,67,24471,22860,21126,19932,19353,18609,17724,16878,872903,676804,865842,610909,715365,727260,659029,460408,58273937,17295939,58772124,16778882,58756970,15362871,55896179,14697967,60025025,14277944,60448065,13812889,54504462,13862853,59337046,15034171,
211273,Bryn Mawr College,374,374,391,391,354,354,407,407,385,385,351,351,365,365,365,365,390,349,354,325,407,374,385,360,351,330,365,333,365,331,361,326,54440,52360,50500,48790,47140,45540,43900,42246,9117136,10483581,7825226,11123893,8426452,7043999,6996200,7246072,888153000,133746000,897236000,122074000,852743000,123769000,803898000,122188000,867728000,117866000,839226000,117304000,710168000,115806000,641173000,107955000,
211291,Bucknell University,964,964,974,974,973,973,950,950,938,938,939,939,933,933,915,915,973,899,973,898,950,894,938,864,939,875,933,869,915,861,916,873,58196,56092,53986,51960,50152,48498,46902,45378,17001361,15955137,16273524,13415686,15086928,13428750,13822726,12053772,866835000,239462000,851309000,241253000,800765000,231833000,722425000,219237000,,205637000,750913000,200780000,666563000,195091000,599216000,179256000,
153001,Buena Vista University,230,230,201,201,203,203,183,183,223,223,201,201,269,269,228,228,201,141,203,121,183,140,223,163,200,156,267,196,228,158,203,156,35194,34004,32854,32210,31318,30406,29448,28314,5671893,4494752,3997036,3658588,3937876,3474848,4578809,3638224,136567559,42067365,138108162,43560744,135029495,44211992,127326442,42637663,133347544,43561789,135570211,44310073,122300637,45651394,114246498,45593490,
230825,Burlington College,,,,,,,,,14,13,33,32,45,44,39,38,,,,,,,,,31,11,32,15,26,6,36,23,,,,,24246,23581,22885,22545,,,,,,55267,148570,124682,,,,,,,,,,,164414,5477256,33880,5818875,1880,5454827,
209409,Bushnell University,113,113,100,100,102,102,81,81,84,83,78,78,82,82,68,68,100,70,102,72,81,50,83,65,78,54,82,57,68,37,58,41,31410,30050,28680,27930,27270,26180,24930,24780,2019053,1705400,1546445,1248696,1233533,1113040,1083539,886665,14987272,14948405,14317854,14444883,13500732,14592293,12112272,13528639,12417394,12362922,12613333,11844848,11224754,11158000,11303271,10642063,
150163,Butler University,1116,1116,1326,1326,1054,1054,1256,1255,1025,1024,971,969,1015,1014,1101,1101,1326,1161,1054,940,1254,1114,1022,947,969,863,1014,914,1101,1003,926,841,42360,41120,39860,38360,37010,35652,34368,33138,18797144,22426156,17076732,18141722,16878998,12823407,13574316,14925109,220516000,190417000,235941000,177518000,220426000,173797000,193805000,163314000,193960000,157581000,188874000,151142000,171576000,145192000,148077000,136438000,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948329,,877438,,784556,,769641,,825917,,748111,,688904,,667548,
198109,Cabarrus College of Health Sciences,32,27,18,14,12,11,23,19,25,19,31,23,29,25,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,13574,13194,12626,12268,11976,11636,11330,11010,36778,4776,1625,29394,13650,24546,21720,4340,2973992,7485645,2444713,7678645,2060260,7469363,2060259,6980398,1943814,6504782,1958804,5563773,1649031,5470441,1416481,5204054,
211352,Cabrini University,365,364,442,440,494,492,486,481,392,392,392,392,304,304,384,384,441,337,492,350,481,328,392,273,392,296,303,233,382,272,322,238,32845,31920,31350,30588,29842,29842,29000,29000,7307636,8082975,7887731,7330163,5804791,5942230,4125156,5829777,42166174,54617006,45558371,55873422,46450642,54764096,43895124,55124151,43708900,52519052,44141538,49330002,38860713,52439008,12730912,51998139,
215114,Cairn University-Langhorne,238,234,186,186,154,154,147,144,161,159,159,159,139,137,154,151,167,140,140,112,144,108,159,117,159,110,137,103,139,104,114,86,28918,27279,26493,25246,23920,23245,22455,21705,3034889,2691460,2281764,2175317,2061425,2047922,1743994,1674747,11207000,22060103,11407792,21185792,10950234,20140655,10143093,19717582,11196341,19789452,11303788,20657474,10083307,20954703,9629702,20782359,
183910,Caldwell University,445,445,497,494,361,361,404,404,353,347,386,386,373,349,292,289,494,392,361,285,400,337,347,266,386,316,330,278,289,211,306,252,35740,34715,33950,32650,31200,30050,29000,27890,9459423,10571979,7061382,7595598,5219423,5675728,5139592,3455729,4735000,46312000,4264000,46130000,3403000,41860000,8128784,43217228,8319896,42352872,7948562,39297750,6295772,37628712,5836346,36439120,
110361,California Baptist University,1523,1491,1603,1567,1412,1375,1146,1117,1106,1076,1086,1061,993,967,909,876,1567,1226,1374,1048,1117,872,1076,818,1061,807,967,798,876,673,775,602,34882,33478,32256,31372,30384,29422,28122,26900,21962153,23226251,19587530,13547270,11296106,10100515,8330268,7174396,65618267,220882824,53909340,201944415,47703685,181250498,41825411,167064583,16087620,154880080,15774938,134067095,14019392,118058109,12230337,105415518,
110918,California Christian College,1,1,1,1,3,3,1,1,2,2,,,4,2,4,3,1,1,3,0,1,0,0,0,0,0,2,1,3,3,8,3,9810,9570,9330,8990,8750,8540,8275,8645,1355,0,0,0,0,,0,0,108103,497093,105061,436858,103993,414455,102152,489411,102995,464004,103645,530359,99305,531074,96671,507152,
110370,California College of the Arts,248,248,263,263,235,235,256,256,241,241,273,273,232,232,233,233,263,213,235,190,255,213,241,195,273,222,232,186,232,190,232,177,51092,49138,47266,45466,43708,41942,40334,38798,4520631,4944095,4615524,4040498,3668318,3946204,3247556,2555594,36150000,84785000,34883000,78319000,33048000,74079000,30759000,70945000,33020000,64494000,32096000,60276000,30334000,57182000,28621000,54814000,
110316,California Institute of Integral Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229376,29584940,1941255,29301057,1937824,29978436,1672513,31737316,1387573,23830331,1386723,23025026,1382723,24665953,1290780,24734045,
110404,California Institute of Technology,235,235,231,231,235,235,235,235,241,241,226,226,248,248,264,264,230,226,235,230,235,231,240,235,225,219,247,240,264,255,242,233,54600,52362,49908,47577,45390,43362,41538,39588,6185797,5423890,4556624,4832414,4845027,4412843,4131385,4297439,2987001000,3462003872,2907002000,3368557989,2641050000,2978841737,2217372000,2538636000,2078954000,2417641000,2118100000,2201797000,1960435000,2044550000,1811497000,2196064000,
111081,California Institute of the Arts,216,215,215,215,213,213,205,205,193,193,187,187,172,172,180,180,214,180,213,170,184,150,193,172,186,161,172,149,180,153,133,118,51466,49276,47446,45646,43986,42260,40536,39014,2399975,2872726,2835683,2171383,1682099,1766167,1357000,1230136,178839344,70361490,173336202,68193834,158496963,66518506,134148344,65227744,139561180,61750120,137535200,61422984,115310499,58039919,113190033,55996048,
110413,California Lutheran University,647,647,681,681,585,585,638,638,595,595,556,556,540,540,558,558,681,569,585,484,638,540,595,505,556,468,540,448,558,473,502,414,44382,42692,41363,39793,38430,37140,35720,34360,16643010,16167085,12671479,14157040,12115960,9941658,9117185,8640680,107158450,123742763,108839898,116774523,98470376,112010596,92559894,108985167,92938118,106828395,86235853,98802661,61760588,92112774,55648989,87963864,
460075,California University of Management and Sciences,,,,,2,2,8,8,4,4,53,53,16,16,,,,,,,8,2,4,2,4,2,7,7,7,7,,,6330,6540,9570,9570,9570,8850,10745,,,,0,0,0,0,0,4200,,,,3974709,,3827084,,4717652,,3305237,,3245898,,2373787,,,
111391,California Western School of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23591611,31920190,24432810,28648083,24161170,27366431,22516456,28525053,23819248,27921717,24308916,28106695,21853178,29488026,19625160,31596035,
150172,Calumet College of Saint Joseph,135,132,116,106,98,96,113,108,118,111,126,117,168,149,134,120,104,49,95,54,101,50,109,56,113,58,149,86,120,74,103,62,19670,19170,17920,17570,17000,16405,15620,14880,900831,637853,546460,665466,599495,608116,605638,404463,4411153,11102987,4279589,11707704,4132707,12362394,3900173,12602370,4336364,13273771,4448692,12930166,3887051,12537873,3563763,13383758,
211370,Calvary Baptist Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526567,1111948,1539345,1253819,
176789,Calvary University,52,47,48,46,43,37,32,26,34,28,38,36,41,37,35,32,46,29,37,23,23,17,27,14,36,25,37,20,32,21,30,19,11164,11164,11152,11700,11320,10600,10816,10756,211827,79745,237460,52637,39344,57980,57368,38879,522371,6075389,1054399,5513229,1205900,4362768,723014,4467696,727074,4526981,1219519,4501341,209134,4716705,199679,4753256,
169099,Calvin Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45399923,9677070,46933904,10903172,45838370,10486887,41351372,10791570,41829488,10893991,42903378,10444997,37136811,10039816,32317503,10225711,
169080,Calvin University,790,778,842,823,889,887,929,904,944,941,951,949,1006,1006,977,977,823,696,887,768,904,784,941,798,949,816,1006,879,977,854,960,821,36300,34600,33100,31730,30660,29635,28250,26705,16905782,15505620,16624546,15304024,15215436,13694050,13035427,11995220,176538000,120746000,160768715,121861659,145671768,122174868,129091034,122244737,128435593,124675889,123665678,124514962,114190839,127229585,108490611,125519680,
165167,Cambridge College,11,1,18,9,22,8,27,9,34,8,138,10,186,28,68,24,9,2,7,3,6,5,8,3,10,6,28,17,24,17,27,11,16164,15588,14940,14436,14004,13608,13392,13240,0,1000,2636,0,0,6500,1047,2000,63858020,32933781,69647702,32364122,76366154,31472013,14926752,27851042,14451700,27858864,15199840,31167820,12981498,34640968,12203627,37990073,
198136,Campbell University,742,706,830,812,798,777,912,884,976,956,879,871,794,779,824,821,809,613,774,576,882,633,952,688,871,642,771,556,821,578,867,625,34630,32500,31190,30050,28820,27530,26240,25000,14437558,17059693,15793650,14222088,11884759,11891779,8656289,8335469,152497434,166619577,149440784,158830222,143109273,152429342,135803435,134559768,133564944,118828398,124569754,113895031,132217136,98905813,110524019,96513628,
156365,Campbellsville University,664,639,666,642,541,520,598,582,514,508,516,511,531,522,579,570,608,415,502,315,537,355,462,283,511,300,514,296,568,391,504,320,25400,25400,25400,24596,23828,22842,22196,21600,6961512,8446766,7146500,7606617,6128450,5752632,5838889,5929155,29384985,88779592,20968711,71911228,13976207,49807912,12988408,40967031,13336302,38222881,13826432,39260760,12063889,38491986,10206647,37931658,
189705,Canisius College,554,553,485,484,553,553,597,597,605,605,613,613,682,680,713,712,483,404,553,469,594,491,600,502,613,506,680,584,712,571,810,667,29428,28488,36454,35424,34690,34000,33332,32030,9324347,7393909,12855085,13584953,13260174,13676350,14247548,13737640,129200979,77436066,133912454,87993073,123754244,85317467,104297917,90747801,110740199,90240412,104580533,91782643,94474839,93635397,96031298,98629285,
201548,Capital University,723,723,589,589,595,595,613,613,671,671,710,710,691,691,670,669,585,454,594,464,611,477,670,501,706,538,690,523,663,493,623,465,36872,35466,34600,33492,32830,32190,31990,31364,18100629,14373670,13423807,14161737,14505798,14135020,13249228,12231487,106298280,79315488,107345637,77641390,78044540,72823653,71502534,72149300,73514052,71118346,74332891,76012376,65904126,74795836,60643137,72782341,
162061,Capitol Technology University,76,76,84,83,62,60,95,94,83,82,54,52,51,51,65,65,83,58,60,43,94,68,82,60,52,45,51,38,65,53,67,55,26308,25540,24788,24272,23508,22896,22296,21696,733780,683903,564833,984636,717256,710156,385653,444803,4832021,18088011,4620314,15803416,4398910,15229484,4024954,14322617,4248089,15828025,,15931699,3578798,14019571,3133357,13223332,
238430,Cardinal Stritch University,139,138,131,130,141,139,165,164,160,160,188,188,195,195,162,162,130,78,139,100,164,126,160,117,187,128,195,140,162,115,137,91,31798,29998,28844,28212,27540,26570,25450,24330,3209767,2443668,2599354,3096628,2896170,2914465,3114366,2234816,12481793,32193303,12087176,32459536,11109690,35619885,10450224,37899674,10229682,47455109,9747225,52804134,8978545,60313781,13939436,60388247,
173258,Carleton College,525,525,529,529,522,522,567,567,491,491,521,521,527,527,528,528,529,502,522,507,566,542,491,472,519,499,527,510,528,507,518,506,57111,54759,52782,50874,49263,47736,46167,44445,12750983,11479369,10540727,11991664,9855110,9009159,9740397,8291539,892352800,144963843,878493998,142143913,828168145,138089424,738135608,133615578,783456362,127690800,792737205,124773465,700540278,122184389,645654187,118224636,
211431,Carlow University,163,162,247,247,241,241,218,217,222,219,203,198,205,203,219,210,247,192,241,192,216,168,219,162,197,152,203,158,210,151,220,154,30528,29454,28596,27764,26832,26178,25416,24438,2943031,4109035,3791055,3572239,3223707,2742334,2625700,2473181,32440448,48114142,31308302,48280220,28450645,45618402,25749299,44774510,23463263,43499287,21167822,43030713,18289683,42072723,16623477,41872202,
211440,Carnegie Mellon University,1585,1585,1572,1572,1676,1676,1552,1552,1575,1575,1474,1474,1442,1442,1408,1408,1567,1525,1667,1612,1537,1474,1564,1508,1468,1432,1439,1381,1401,1320,1431,1364,57119,55465,53910,52310,50665,49022,47642,45760,27929303,28633881,30855967,27631470,22673153,20820570,20120160,17045209,1983601568,1251069552,1872190873,1198662597,1718582585,1134536986,1288196389,1096053023,1318050068,1085370967,1235967714,1061772569,1066149108,1027732912,979229547,974784095,
199971,Carolina Christian College,13,13,16,16,1,1,1,1,2,2,2,2,2,2,16,3,10,9,1,1,1,0,2,1,2,2,2,2,3,3,9,9,8890,8800,8800,4075,4025,4025,4025,4150,17860,17600,,0,0,,0,2385,226237,657174,204491,493053,211098,377522,225730,408725,223612,431959,,589522,,491227,,581828,
461032,Carolina College of Biblical Studies,,,24,12,12,9,10,2,12,3,4,3,13,6,6,4,2,1,5,2,2,0,3,2,3,0,4,4,4,3,4,2,5300,6320,6253,5325,4941,4725,4725,5160,1816,8501,0,0,0,0,0,0,473928,1351862,480027,1338880,467240,1298509,443982,1063608,456291,1037434,462541,820514,405616,666758,364317,435488,
180106,Carroll College,312,311,254,254,294,294,339,338,387,387,354,354,315,315,383,383,254,203,294,237,338,283,387,304,353,280,315,253,383,312,343,296,36280,35486,34480,33192,30754,29280,27914,26554,7970154,5865901,6121948,6579812,6988707,6199160,4874259,5324243,56909845,38391547,56227500,38328800,53525693,38649282,48391702,37885081,52045530,37384995,51030695,35215677,37932404,33363651,33766927,31426665,
238458,Carroll University,793,793,719,711,724,717,668,667,761,755,762,758,686,678,726,712,710,588,717,579,667,529,755,601,758,624,678,536,712,541,813,643,32850,31918,31144,30388,29535,28550,27724,26475,15046220,13009284,12629384,11020208,11543919,11241299,9234022,8817533,71164498,77191789,62142912,73895658,57549409,73211072,51973370,68204456,52607425,65722674,52173386,66240661,46263856,61875151,41570137,57530700,
219806,Carson-Newman University,557,556,483,479,395,394,505,505,497,497,491,488,480,480,453,453,479,324,394,248,505,351,497,349,488,318,478,337,453,311,445,268,28900,27900,27400,26360,25360,24460,23696,22652,8261761,6918802,5415694,7151620,6985183,6982177,6337932,5552349,59515420,43546484,58527749,41540113,57477709,42175992,54612105,42720763,53592352,40182096,51811396,39468206,50396319,36025967,48936983,36787662,
238476,Carthage College,687,682,763,761,709,707,724,722,752,751,713,704,717,714,725,718,761,581,705,543,722,560,751,608,704,544,714,568,718,563,679,498,45100,43550,41950,40265,38375,36570,34850,33000,19989663,20290454,18159951,17411157,16185252,13919547,12623046,11838650,111495804,84284519,108980136,85530090,106774647,75839969,85439746,77148641,84390973,70113719,80813222,66640989,64440221,63118553,54832380,62425936,
139287,Carver Bible College,,,,,14,10,5,4,15,11,36,34,34,27,42,32,,,,,4,1,11,7,17,17,21,21,14,11,15,7,,13100,12685,10460,9860,9260,8325,8060,,,,51000,95633,90733,305340,0,,,,,,1063546,,1486258,,1183825,,1319012,,1323764,,1315048,
201645,Case Western Reserve University,1357,1357,1393,1393,1309,1308,1265,1265,1259,1258,1282,1282,1252,1252,1372,1371,1392,1298,1307,1236,1264,1169,1256,1152,1282,1204,1250,1164,1371,1292,902,826,50924,49042,47500,46006,44560,43158,41800,40490,37928634,35671019,34586564,28155675,27502427,28958391,28416079,34360768,1866500000,1007271475,1886761000,981887844,1798790000,958453771,1662739000,915644304,1775999000,874303976,1758570000,861437615,1678563000,865963369,1600013000,859730079,
198215,Catawba College,342,342,338,338,332,332,349,349,311,311,344,344,335,335,296,296,338,244,332,235,349,251,311,224,344,253,333,243,290,203,301,201,30520,30520,29920,29333,28730,27360,26820,26040,6892848,7159842,6548055,6826120,5704125,5548834,5072000,3954373,68022000,59196680,71597000,57693468,61876000,53499783,56557000,51756576,56818000,47229110,53348000,46433198,48306699,41636023,43169534,41955539,
218089,Cathedral Bible College,,,,,,,,,,,,,11,5,26,21,,,,,,,,,,,,,17,11,8,5,,,,,,2900,2600,2600,,,,,,,,,,,,,,,,,,,,,,,,,
143659,Catholic Theological Union at Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24091042,11052361,24472785,10516977,22325027,9780872,19964156,9269806,22584728,9910638,23174773,9734656,21547879,10696815,19700539,9967975,
189848,Cazenovia College,218,218,204,204,165,165,209,199,250,250,265,265,345,345,268,268,204,144,165,115,199,135,250,183,265,188,345,253,268,193,270,184,35634,34630,33656,32674,31754,30560,29410,28022,5816960,5473633,4162961,4913122,5909662,5731918,7302389,5023569,4013265,22441174,7668092,23188519,7822683,25249107,29716892,25050068,31256176,25305175,32207229,24899805,28825838,24213904,26370527,23449242,
211468,Cedar Crest College,205,205,207,207,213,213,181,181,179,179,170,170,141,140,145,145,207,156,213,171,181,149,179,141,170,134,140,97,145,97,117,82,40374,39216,38092,36825,35600,34504,33000,31596,5223049,5092517,4943836,3896863,3782913,3466254,2700792,2544342,32637991,37788142,30623441,36402463,31961793,33642339,27765254,31964780,26687946,30022537,25979759,29181528,20960619,29754544,18940331,30620224,
201654,Cedarville University,995,993,911,910,872,870,769,769,819,819,787,786,781,779,832,832,910,773,870,753,769,643,819,699,786,673,779,688,831,708,851,722,31322,30270,29156,28110,27206,26420,26420,25496,16089339,13937912,12407916,9909491,10103378,8714736,8047033,7901305,35433765,88796497,30757502,85166746,29310271,85607191,26229258,83407272,26812368,85112356,27074941,82392372,23813773,83912303,19792475,74549905,
158477,Centenary College of Louisiana,172,172,169,169,173,173,130,130,157,157,141,140,128,127,158,158,169,118,173,132,130,102,157,115,140,103,127,102,158,120,239,164,37310,36580,35900,35430,33900,33500,30740,29500,4449421,5460998,3800669,2768444,3256473,2590114,2254610,2628176,133109778,25682839,132439561,24868572,131640857,25451943,122482267,26119554,138582054,26064338,137343822,27295722,122941829,26349841,119907825,26665862,
183974,Centenary University,205,200,234,224,219,212,243,237,227,225,244,238,217,206,292,284,224,159,212,146,237,185,218,190,230,180,206,155,275,195,290,232,33492,32998,32580,32098,31754,30942,30540,29630,3919680,4239398,3860441,4849690,3965612,3845059,2831951,3544355,12587461,41497235,13852131,42774337,12242600,46560973,10727935,43663676,10603215,44392362,10479011,45803331,,44833444,2828897,45982591,
